x,y,HAADF Intensity,SEEBIC Intensity,frame,atom_id,k-means labels,Type,Scaled SEEBIC Intensity
53.5,239.0,0.05888213310390711,-1.9400511682033539,0,222,0,W,-0.09839409963037093
313.8,237.0,0.04161867033690214,-2.1957492530345917,0,223,1,Se-Se,-0.3540921844616087
295.5806451612903,239.4516129032258,0.05863828514702618,-2.2552236318588257,0,224,0,W,-0.41356656328584274
164.96296296296296,241.40740740740742,0.051009275717660785,-1.7597508281469345,0,225,1,Se-Se,0.08190624042604844
145.44827586206895,242.58620689655172,0.05977434245869517,-1.943865105509758,0,226,0,W,-0.10220803693677505
406.3333333333333,242.125,0.05208176118321717,-2.138696402311325,0,227,1,Se-Se,-0.2970393337383421
386.8181818181818,244.03030303030303,0.06755340285599232,-2.181458905339241,0,228,0,W,-0.3398018367662581
256.6666666666667,245.875,0.052183868130669,-1.8102059587836266,0,230,1,Se-Se,0.03145110978935639
236.66666666666666,248.03333333333333,0.07060011709108949,-1.7229679599404335,0,231,0,W,0.11868910863254944
479.0740740740741,249.40740740740742,0.06665831757709384,-2.067527562379837,0,233,0,W,-0.2258704938068541
106.21739130434783,250.08695652173913,0.04990829876624048,-1.5500252321362495,0,234,1,Se-Se,0.2916318364367334
86.57575757575758,252.24242424242425,0.06351823708973825,-1.6311474442481995,0,235,0,W,0.21050962432478348
328.07142857142856,251.71428571428572,0.06614274345338345,-1.9708925932645798,0,236,0,W,-0.12923552469159683
347.72727272727275,250.5,0.05337827070616186,-1.890787497162819,0,237,1,Se-Se,-0.04913042858983596
178.375,255.84375,0.06053296336904168,-1.7702512219548225,0,238,0,W,0.0714058466181604
197.27272727272728,254.5,0.05101469811052084,-1.6907439902424812,0,239,1,Se-Se,0.15091307833050172
420.3888888888889,257.1388888888889,0.06791323935613036,-2.0332645624876022,0,240,0,W,-0.1916074939146193
439.81481481481484,256.037037037037,0.04890636424534023,-1.7781888395547867,0,241,1,Se-Se,0.06346822901819626
47.4,258.04,0.0498627049382776,-1.8535830602049828,0,242,1,Se-Se,-0.01192599163199981
288.5,258.72727272727275,0.053089754888787866,-1.7950010150671005,0,243,1,Se-Se,0.04665605350588242
28.2,260.5,0.05882230354472995,-1.794147565960884,0,244,0,W,0.04750950261209885
269.0,261.0,0.06061317562125623,-1.8726622685790062,0,245,0,W,-0.031005200006023248
118.51515151515152,264.3939393939394,0.05949202924966812,-1.5739156678318977,0,246,0,W,0.2677414007410852
139.4,262.76,0.049925426254048944,-1.605360932648182,0,247,1,Se-Se,0.23629613592480103
380.04761904761904,264.1904761904762,0.05584628623910248,-1.8481788411736488,0,248,1,Se-Se,-0.006521772600665887
360.3666666666667,265.6333333333333,0.058731483994051814,-1.969209000468254,0,249,0,W,-0.12755193189527114
209.5,268.5,0.058594690868631005,-1.7977096065878868,0,250,0,W,0.04394746198509614
229.5,268.0,0.04990312736481428,-1.9178071171045303,0,251,1,Se-Se,-0.07615004853154739
471.125,268.8333333333333,0.04898293246515095,-1.8249878585338593,0,252,1,Se-Se,0.016669210039123694
79.33333333333333,271.125,0.05349891004152596,-1.8064723312854767,0,253,1,Se-Se,0.03518473728750626
451.5806451612903,271.4516129032258,0.06635004375129938,-1.9706401601433754,0,254,0,W,-0.12898309157039245
320.7826086956522,271.9130434782609,0.05199791444465518,-1.768203891813755,0,255,1,Se-Se,0.07345317675922791
59.275862068965516,273.41379310344826,0.061148886336013675,-1.6496076881885529,0,256,0,W,0.1920493803844301
300.65625,273.71875,0.07106461701914668,-2.0537302643060684,0,257,0,W,-0.21207319573308547
170.6086956521739,275.2173913043478,0.05009071249514818,-1.701404757797718,0,258,1,Se-Se,0.1402523107752649
150.75,277.09375,0.06229665735736489,-1.8824447467923164,0,259,0,W,-0.04078767821933349
412.5925925925926,276.44444444444446,0.0548704294487834,-1.7339431568980217,0,260,1,Se-Se,0.10771391167496125
392.1818181818182,279.030303030303,0.060928350780159235,-2.060984715819359,0,261,0,W,-0.21932764724637588
242.09677419354838,282.19354838709677,0.06354134366847575,-1.8398951515555382,0,263,0,W,0.0017619170174447696
262.0,280.6190476190476,0.053041321225464344,-1.7941261008381844,0,264,1,Se-Se,0.04753096773479859
484.5357142857143,283.64285714285717,0.0698925438337028,-1.944872684776783,0,266,0,W,-0.10321561620380004
91.70967741935483,286.19354838709677,0.06252272590063512,-1.8730493113398552,0,267,0,W,-0.03139224276687225
111.0,284.8181818181818,0.04929662309587002,-1.6327138990163803,0,268,1,Se-Se,0.20894316955660264
334.0,287.0,0.06472652754746377,-2.1481386870145798,0,269,0,W,-0.3064816184415968
353.44,285.92,0.05096225859597325,-1.736827827990055,0,270,1,Se-Se,0.10482924058292786
202.6086956521739,288.7826086956522,0.052153515396639705,-1.7823247164487839,0,271,1,Se-Se,0.05933235212419907
183.42424242424244,290.75757575757575,0.0783897708170116,-1.9958883002400398,0,272,0,W,-0.15423123166705688
425.65625,291.28125,0.05784707283601165,-2.0422133207321167,0,273,0,W,-0.20055625215913375
444.6666666666667,289.875,0.05288813030347228,-1.8490940183401108,0,274,1,Se-Se,-0.007436949767127832
52.78260869565217,292.9130434782609,0.04713904531672597,-1.8597983568906784,0,275,1,Se-Se,-0.01814128831769546
32.92857142857143,295.2857142857143,0.06469587562605739,-1.9895158037543297,0,276,0,W,-0.14785873518134673
274.51428571428573,296.4,0.060244969790801406,-1.872235581278801,0,277,0,W,-0.030578512705818017
294.4,294.96,0.05216791480779648,-1.6897936016321182,0,278,1,Se-Se,0.15186346694086472
